title,releaseDate,slug,imageUrl,bandcampUrl,spotifyUrl,appleMusicUrl,beatportUrl,blurb,label,labelUrl,tags,id,credits,about
Amulet,2024-06-28,amulet,https://f4.bcbits.com/img/a3211910429_2.jpg,"https://logickal.bandcamp.com/album/amulet""",,,[Record],,Offnominal,https://logickal.bandcamp.com,,1957328024,"Logickal is J. Dickens

Recorded via improvisation:
Tracks 1+2: Mar 2024
Track 3: Jun 2024

Edited and mastered Jun 2024

Dedicated to The Venerable Khenpo Tsewang Dongyal Rinpoche and the memory and legacy of The Venerable Khenchen Palden Sherab Rinpoche
https://www.padmasambhava.org","A brief audio ritual to Vajrakilaya to dispel obstructions and obstacles in your path.


All existing phenomena arise as the mudra of the blazing Heruka. 
Unceasing sounds and echoes are transformed into the music of Kilaya.
Recognition of one’s own awareness is the absolute wisdom Kilaya.
May everyone actualize this state, having spontaneously accomplished all the buddha activities.

May the secret treasures of all the victorious ones, Their incomparably supreme teachings,
Arise as the sun in the sky,
Gloriously pervading the entire universe.
By this merit, may all attain omniscience,
May it defeat the enemy, wrongdoing.
From the stormy waves of birth, old age, sickness, and death, From the ocean of samsara, may we free all beings."
Dependent Origination,2024-04-19,dependent-origination,https://f4.bcbits.com/img/a0885736374_2.jpg,https://logickal.bandcamp.com/album/dependent-origination,https://open.spotify.com/album/5erAVC8J3dLLnzXlWqdyDI,https://music.apple.com/us/album/dependent-origination/1748670567,https://www.beatport.com/release/dependent-origination/4589119,"Four improvisational drone meditations created live, March-April 2024",Offnominal,https://logickal.bandcamp.com,,636850280,Music performed by Jeremy Dickens,"Four improvisational drone meditations created live, March-April 2024. 

May you who bind the entire network Of the supreme skillful means,
Which appears as great bliss,
In the seal of discriminative awareness, Which is emptiness in its natural state, Heruka, completely present
In mobile and motionless creatures, All-pervading lord and guru,
Grant protection until enlightenment.
-- Dudjom Rinpoche

May all beings be happy

Instrumentation:
Elektron Digitone
Elektron Syntakt"
Mirror Whispers,2023-10-13,mirror-whispers,https://f4.bcbits.com/img/a1880183485_2.jpg,https://logickal.bandcamp.com/album/mirror-whispers,https://open.spotify.com/album/7xOE46AYL4IrYsx53mTtOm,https://music.apple.com/us/album/mirror-whispers-ep/1719964664,[Record]https://www.beatport.com/release/mirror-whispers/4367341,A ghost story in 6 parts,Offnominal,https://logickal.bandcamp.com,,3669942547,"All musick by J Dickens

Artwork by Midjourney and J Dickens",A ghost story in six parts.
Speaker Worship,2023-10-13,speaker-worship,https://f4.bcbits.com/img/a0667123441_2.jpg,https://logickal.bandcamp.com/album/speaker-worship,https://open.spotify.com/album/6HZgQ6iPE3Hxo1Vk2PBXdQ,https://music.apple.com/us/album/speaker-worship-ep/1719549429,https://www.beatport.com/release/speaker-worship/4363930,Electronics to chase away darkness.,Offnominal,https://logickal.bandcamp.com,,2178494118,"All musick by J Dickens, 2023

Artwork by Midjourney & J Dickens","Electronics to chase away darkness.

The original mix of 'Pursuit' appears on Modus Operandi."
SOLIS,2023-08-04,solis,https://f4.bcbits.com/img/a3544416913_2.jpg,https://logickal.bandcamp.com/album/speaker-worship,https://open.spotify.com/album/5Vvk7saSVsimKjZ1vYTZaC,https://music.apple.com/us/album/solis/1707133287,https://www.beatport.com/release/solis/4265134,The soundtrack to the expedition to Anomaly 15A,Offnominal,https://logickal.bandcamp.com,,767029377,All music performed and produced by J. Dickens,"Excerpts from the soundtrack to an original story, The Safety Of Life In Space."
The Black Acid Working,2023-03-03,the-black-acid-working,https://f4.bcbits.com/img/a1926298754_10.jpg,https://logickal.bandcamp.com/album/the-black-acid-working,https://open.spotify.com/album/1QWJP8bC5bfLm1TOIRwr83,https://music.apple.com/us/album/the-black-acid-working/1676862097,https://www.beatport.com/release/the-black-acid-working/4056112,"Six track EP: half Acid- and EBM-flavored techno, half esoteric ambient.",Offnominal,https://logickal.bandcamp.com,,1719331390,"Music and Production by J. Dickens
Artwork by Midjourney and J. Dickens","The first of four EPs planned for 2023 documenting ongoing sonic ritual activity. 

""The Black Acid Working"" cojoins 3 tracks alchemically processing Industrial Techno, EBM and Acid ingredients with 3 more abstract dark ambient excursions. Partake appropriately for either dancefloor invocations or headphone meditation. FM Synthesis meets 303 squelch, Astral Body Musick transmitted from behind enemy lines during the ongoing Psychic War of the Roaring 2020's.

Tracks 1, 3, 5 originally performed Sept 25-26 2022
Tracks 2, 4, 6 originally performed Feb 12, 2023

All tracks purified and bound between Feb 1-18, 2023"
Two By Two,2022-12-02,two-by-two,https://f4.bcbits.com/img/a0302073988_10.jpg,https://logickal.bandcamp.com/album/two-by-two,https://open.spotify.com/album/6FiyHQMWOISjL2MgMDAom9,https://music.apple.com/us/album/two-by-two/1667165740,https://www.beatport.com/release/two-by-two/4000571,Four pieces of improvised techno and ambience to close out 2022.,Offnominal,https://logickal.bandcamp.com,,3902214331,"written and produced by Jeremy Dickens
art by Midjourney + Jeremy Dickens","Four pieces to close out 2022. Two tracks of hardware-based improvised techno with two dark ambient pieces originally performed live on stream.

A Magnum For Schneider - recorded September 24, 2022
Black Orb Rendezvous - recorded September 10, 2022
Overturned - recorded June 26, 2022
Black Orb Station - recorded October 9, 2022

Edited and Mixed November 2022

May all beings be happy"
Flame Three,2022-03-16,flame-three,https://f4.bcbits.com/img/a1555004667_16.jpg,https://da73imprint.bandcamp.com/track/logickal-flame-three,,,,"Part of February is for Lovers, But March is for Singles 2022 (A Benefit for The Trevor Project)",D/A73,https://da73imprint.bandcamp.com/,,,,
Modus Operandi,2022-07-22,modus-operandi,https://f4.bcbits.com/img/a0703082563_10.jpg,https://logickal.bandcamp.com/album/modus-operandi,https://open.spotify.com/album/2epKKSvsvqIiPPLoKe5ew4?si=v_Y-TsIrSKShndefyA1IwQ,https://music.apple.com/us/album/modus-operandi/1643738012,https://www.beatport.com/release/modus-operandi/3862395,A full-length fever dream of the surveillance state.,Offnominal,https://logickal.bandcamp.com,,1593268127,Written and Produced by J. Dickens,"Building on the raised intensity of his recent release on the Dutch label New York Haunted, Modus Operandi opens the door to a new phase of Jeremy Dickens' work under that banner. Drawing together threads of the more atmospheric strains of '80s & '90s industrial, the early output of Warp Records, and the intensity of modern Berlin techno, Modus Operandi focuses these influences and weaves them into a tapestry that is comfortable both in the listening room and on the dance floor. The melodic and atmospheric elements that run consistently through Logickal's work are present and familiar but framed with a darker and more aggressive sensibility. 

With tracks carefully stitched together as two continuous sides, the music journeys through the darker corners of today's world like a fever dream of the surveillance state, a mood helped by the inclusion of voices culled from wartime propaganda and training material. Some more ambient moments provide pivot points along the way to help the album coalesce into a cinematic accompaniment to today's uncertain times."
Valley Authority,2021-10-01,valley-authority,https://f4.bcbits.com/img/a3164469781_16.jpg,https://newyorkhaunted.bandcamp.com/album/nyh266-logickal-valley-authority,,,,Heavy Duty Machine Music.,New York Haunted,Https://newyorkhaunted.bandcamp.com/,,,,
